AAA|1|Anaa
AAE|2|Annaba
AAH|3|Aachen
AAL|4|Aalborg
AAN|5|Al Ain
AAQ|6|Anapa
AAR|7|Aarhus
AAT|8|Altay
AAU|9|Asau
AAY|10|Al Ghaydah
ABA|11|Abakan
ABD|12|Abadan
ABE|13|Allentown/Bethlehem/Easton
ABI|14|Abilene
ABJ|15|Abidjan
ABK|16|Kabri Dar
ABL|17|Ambler
ABM|18|Bamaga
ABQ|19|Albuquerque
ABR|20|Aberdeen (US)
ABS|21|Abu Simbel
ABT|22|Al-Baha
ABV|23|Abuja
ABX|24|Albury
ABY|25|Albany (US) GA
ABZ|26|Aberdeen (GB)
ACA|27|Acapulco
ACC|28|Accra
ACE|29|Lanzarote
ACH|30|Altenrhein
ACI|31|Alderney
ACK|32|Nantucket
ACT|33|Waco
ACV|34|Arcata/Eureka
ADA|35|Adana
ADD|36|Addis Ababa
ADE|37|Aden
ADF|38|Adiyaman
ADH|39|Aldan
ADK|40|Adak Island
ADL|41|Adelaide
ADQ|42|Kodiak
ADU|43|Ardabil
ADZ|44|San Andres Island
AED|45|Aleneva
AER|46|Adler/Sochi
AES|47|Aalesund
AET|48|Allakaket
AEX|49|Alexandria (US)
AEY|50|Akureyri
AFA|51|San Rafael
AFL|52|Alta Floresta
AFT|53|Afutara
AGA|54|Agadir
AGE|55|Wangerooge
AGF|56|Agen
AGH|57|Helsingborg
AGJ|58|Aguni
AGL|59|Wanigela
AGN|60|Angoon
AGP|61|Malaga
AGR|62|Agra
AGS|63|Augusta (US) GA
AGT|64|Ciudad del Este
AGU|65|Aguascalientes
AHB|66|Abha
AHE|67|Ahe
AHN|68|Athens (US)
AHO|69|Alghero
AHS|70|Ahuas
AHU|71|Al Hoceima
AIA|72|Alliance
AIC|73|Airok
AIM|74|Ailuk Island
AIN|75|Wainwright
AIR|76|Aripuana
AIT|77|Aitutaki
AIU|78|Atiu Island
AIY|79|Atlantic City
AJA|80|Ajaccio
AJF|81|Jouf
AJI|82|Agri
AJL|83|Aizawl
AJR|84|Arvidsjaur
AJU|85|Aracaju
AKA|86|Ankang
AKB|87|Atka
AKF|88|Kufrah
AKG|89|Anguganak
AKI|90|Akiak
AKJ|91|Asahikawa
AKL|92|Auckland
AKN|93|King Salmon
AKP|94|Anaktuvuk Pass
AKS|95|Auki
AKU|96|Aksu
AKV|97|Akulivik
AKX|98|Aktyubinsk
AKY|99|Sittwe
ALA|100|Almaty
ALB|101|Albany (US) NY
ALC|102|Alicante
ALF|103|Alta
ALG|104|Algiers
ALH|105|Albany
ALJ|106|Alexander Bay
ALM|107|Alamogordo
ALO|108|Waterloo
ALP|109|Aleppo
ALS|110|Alamosa
ALW|111|Walla Walla
ALY|112|Alexandria (EG)
AMA|113|Amarillo
AMD|114|Ahmedabad
AMH|115|Arba Mintch
AMI|116|Mataram
AMM|117|Amman
AMQ|118|Ambon
AMS|119|Amsterdam
AMV|120|Amderma
AMY|121|Ambatomainty
ANC|122|Anchorage
ANE|123|Angers
ANF|124|Antofagasta
ANG|125|Angouleme
ANI|126|Aniak
ANK|127|Ankara
ANM|128|Antalaha
ANR|129|Antwerp
ANU|130|Antigua
ANV|131|Anvik
ANX|132|Andenes
AOI|133|Ancona
AOJ|134|Aomori
AOK|135|Karpathos
AOL|136|Paso de Los Libres
AOO|137|Altoona
AOR|138|Alor Setar
AOT|139|Aosta
APF|140|Naples (US)
APL|141|Nampula
APN|142|Alpena
APO|143|Apartado
APW|144|Apia
AQG|145|Anqing
AQI|146|Qaisumah
AQJ|147|Aqaba
AQP|148|Arequipa
ARC|149|Arctic Village
ARE|150|Arecibo
ARH|151|Arkhangelsk
ARI|152|Arica
ARK|153|Arusha
ARM|154|Armidale
ARP|155|Aragip
ARR|156|Alto Rio Senguerr
ART|157|Watertown (US) NY
ARU|158|Aracatuba
ARV|159|Minocqua
