node mean_tx_out median_tx_out mean_tx_in mean_tx_int count.mean_tx_all count.median_tx_all
1 0 0 0 0 0 0
2 3.1525420522838593e-06 2.0495163141498608e-05 2.979273492241823e-06 0.0006133088009812941 5.877867121358023e-06 0.0015337423312883436
3 4.829788793336067e-06 1.2306026261060042e-05 4.829788793336067e-06 1.2306026261060042e-05 9.869518663574778e-06 1.0
4 1.8908805901816499e-06 2.4445006679598074e-06 1.8908805901816499e-06 2.4445006679598074e-06 4.018112706643264e-06 1.0
5 0 0 0 0 0 0
6 1.0596688958568006e-06 1.0596688958568006e-06 1.0596745103773924e-06 1.0596745103773924e-06 3.17892584095834e-06 0.03571428571428571
7 7.906513385727162e-07 7.906513385727162e-07 7.906575899175344e-07 7.906575899175344e-07 1.9766228765634593e-06 0.03571428571428571
8 2.7713958689573176e-06 2.7713958689573176e-06 4.752377376782735e-06 3.691167405515342e-06 7.920603866838809e-06 0.0006793478260869565
9 1.0476179002280141e-06 1.0476179002280141e-06 1.0475915608119044e-06 1.0475915608119044e-06 2.6189185437765328e-06 0.009345794392523364
10 9.905707569644553e-07 9.905707569644553e-07 9.974559885013275e-07 9.974559885013275e-07 2.4750159514778074e-06 6.628662335940607e-05
11 0 0 0 0 0 0
12 0 0 0 0 0.01818181818181818 0.01818181818181818
13 1.5156532882477e-06 8.296138976920141e-06 1.5156268708519186e-06 6.557420048656057e-06 3.4101333248458902e-06 0.00036075036075036075
14 0 0 0 0 0 0
15 0 0 1.1119778360577716e-06 1.1119778360577716e-06 1.3162490062320003e-06 2.080702112120714e-06
16 0 0 0 0 0.008064516129032258 0.008064516129032258
17 0.000946969696969697 0.000946969696969697 0 0 0.001189532117367169 0.001488095238095238
18 0 0 0 0 0.005076142131979695 0.005076142131979695
19 0 0 0 0 0 0
20 0 0 0 0 0 0
21 0 0 0 0 6.925634613213696e-07 6.925634613213696e-07
22 0 0 0 0 0 0
23 0 0 0 0 0.011363636363636364 0.011363636363636364
24 0 0 0 0 0 0
