node count.gdp factor.1994_position factor.continent factor.1980_rank
1 1209 2 1 9999998
2 8042 2 6 2
3 20333 2 5 2
4 28942 1 3 2
5 7053 2 6 9999998
6 272 3 2 9999998
7 27129 1 3 1
8 2753 3 4 9999998
9 885 3 6 9999998
10 4501 2 6 2
11 19362 2 4 1
12 4589 2 6 3
13 584 1 2 9999998
14 2089 2 6 3
15 4187 2 3 2
16 11818 2 3 9999998
17 4922 2 3 9999998
18 33121 2 3 2
19 1565 2 6 3
20 970 2 1 3
21 1675 3 4 4
22 2604 3 5 9999998
23 24653 2 3 2
24 26458 1 3 1
25 11415 3 6 9999998
26 29419 1 3 1
27 10900 2 3 2
28 9204 3 6 9999998
29 1469 3 4 4
30 700 3 4 4
31 22372 2 2 2
32 4274 2 3 3
33 26006 2 3 9999998
34 370 2 2 3
35 1024 2 2 9999998
36 17888 2 3 2
37 16506 2 2 3
38 18975 1 3 1
39 40920 1 2 1
40 1159 2 2 4
41 10153 2 2 2
42 15717 2 2 9999998
43 1754 2 3 9999998
44 115 2 1 4
45 4342 2 2 3
46 12711 3 6 9999998
47 3567 2 1 9999998
48 3140 3 4 9999998
49 1270 2 1 3
50 25769 1 3 1
51 16402 2 5 2
52 427 3 4 4
53 33708 2 3 2
54 6382 2 2 9999998
55 502 2 2 4
56 3005 3 4 4
57 1860 3 6 9999998
58 2501 2 6 3
59 1084 2 2 3
60 3083 2 3 9999998
61 10620 2 3 3
62 329 3 3 9999998
63 11856 3 1 9999998
64 1561 2 3 9999998
65 6920 3 1 9999998
66 25645 2 2 2
67 9419 2 3 2
68 3566 2 1 9999998
69 14140 2 3 2
70 721 2 2 4
71 26296 1 3 1
72 43034 1 3 1
73 2869 2 2 3
74 4080 2 6 9999998
75 2013 2 1 3
76 2763 2 3 3
77 18991 1 3 1
78 26341 1 4 1
79 5526 2 6 9999998
80 3496 2 6 2
