"","cty1","cty2","absimport"
"1",111,112,14919490
"2",111,122,748051.8125
"3",111,128,540259.6875
"4",111,132,5859742.5
"5",111,134,4654544
"6",111,136,4820778
"7",111,138,3781819.25
"8",111,142,1828571.25
"9",111,144,3158442.25
"10",111,146,4903895.5
"11",111,156,87314288
"12",111,158,8103900
"13",111,172,1537661.5
"14",111,174,789610.5625
"15",111,176,207792.265625
"16",111,178,124675.3046875
"17",111,182,1080518.875
"18",111,184,2244156.5
"19",111,186,2742856.75
"20",111,193,6275325
"21",111,196,2867532
"22",111,199,6316881.5
"23",111,213,9184411
"24",111,218,1579220.375
"25",111,223,31875296
"26",111,228,7148053
"27",111,233,13922072
"28",111,238,1080518.875
"29",111,243,1703895.75
"30",111,248,1537661.5
"31",111,253,2285714
"32",111,258,2368830.75
"33",111,268,872727.375
"34",111,273,14046741
"35",111,278,831169.0625
"36",111,283,457142.78125
"37",111,288,290908.96875
"38",111,293,2202596.25
"39",111,298,4737663.5
"40",111,299,14420775
"41",111,343,124675.3046875
"42",111,369,415584.34375
"43",111,423,166233.8125
"44",111,436,374026.09375
"45",111,469,2410390
"46",111,518,41558.453125
"47",111,524,2950650.75
"48",111,534,11553256
"49",111,564,1412987.375
"50",111,566,10514284
"51",111,578,3366235
"52",111,612,249350.71875
"53",111,636,2077921.75
"54",111,644,540259.6875
"55",111,652,2701298.75
"56",111,686,207792.265625
"57",111,694,1537661.5
"58",112,111,24615070
"59",112,122,432207.75
"60",112,128,11740253
"61",112,132,12770909
"62",112,134,4837403.5
"63",112,136,5942860
"64",112,138,9978182
"65",112,142,3241558.25
"66",112,144,7667534.5
"67",112,146,1475324.625
"68",112,156,20970382
"69",112,158,914286
"70",112,172,3927271.5
"71",112,174,407272.6875
"72",112,176,99740.2421875
"73",112,178,7272725
"74",112,182,1388051.625
"75",112,184,2896622.5
"76",112,186,1354805.25
"77",112,193,25562592
"78",112,196,15580268
"79",112,199,6009352.5
"80",112,213,11121047
"81",112,218,1313246.25
"82",112,223,4725196
"83",112,228,669091
"84",112,233,20779.216796875
"85",112,243,1691427.75
